"inst","w","var","inc","feas","fixed_solved","fixed_time","flex_solved","flex_time"
273,5,2,10,TRUE,TRUE,2.664,TRUE,104.412
275,5,2,10,TRUE,TRUE,7.485,FALSE,120.015
280,5,2,10,TRUE,TRUE,3.359,TRUE,33.285
283,5,2,10,TRUE,TRUE,2.471,FALSE,120.024
284,5,2,10,TRUE,TRUE,2.206,TRUE,77.179
285,5,2,10,TRUE,TRUE,4.826,TRUE,64.852
286,5,2,10,FALSE,TRUE,2.727,FALSE,120.023
287,5,2,10,TRUE,TRUE,3.777,FALSE,120.019
289,5,2,10,TRUE,TRUE,4.011,TRUE,22.795
290,5,2,10,TRUE,TRUE,15.483,FALSE,120.016
346,5,2,10,TRUE,TRUE,31.189,FALSE,120.017
348,5,2,10,TRUE,TRUE,5.478,FALSE,120.059
349,5,2,10,TRUE,TRUE,4.672,FALSE,120.016
350,5,2,10,TRUE,TRUE,15.406,FALSE,120.016
351,5,2,10,TRUE,TRUE,26.182,FALSE,120.012
355,5,2,10,TRUE,TRUE,3.436,FALSE,120.06
356,5,2,10,TRUE,TRUE,32.424,FALSE,120.014
357,5,2,10,TRUE,TRUE,10.609,FALSE,120.018
361,5,2,10,TRUE,TRUE,3.222,FALSE,120.015
362,5,2,10,TRUE,TRUE,26.897,FALSE,120.011
365,5,2,10,TRUE,TRUE,26.367,FALSE,120.013
417,5,2,10,TRUE,TRUE,5.284,FALSE,120.017
42,5,2,10,TRUE,TRUE,34.116,FALSE,120.015
420,5,2,10,TRUE,TRUE,2.657,FALSE,120.017
424,5,2,10,TRUE,TRUE,15.014,FALSE,120.017
426,5,2,10,TRUE,TRUE,4.049,TRUE,55.721
428,5,2,10,TRUE,TRUE,2.133,FALSE,120.019
43,5,2,10,TRUE,TRUE,2.858,TRUE,106.221
430,5,2,10,TRUE,TRUE,2.555,TRUE,61.063
432,5,2,10,TRUE,TRUE,6.802,FALSE,120.026
433,5,2,10,TRUE,TRUE,0.494,TRUE,44.298
434,5,2,10,TRUE,TRUE,12.951,FALSE,120.013
436,5,2,10,TRUE,TRUE,7.34,FALSE,120.014
437,5,2,10,TRUE,TRUE,2.713,TRUE,74.681
439,5,2,10,TRUE,TRUE,2.657,TRUE,51.335
44,5,2,10,TRUE,TRUE,3.101,FALSE,120.014
440,5,2,10,TRUE,TRUE,7.128,FALSE,120.015
48,5,2,10,TRUE,TRUE,16.228,FALSE,120.016
492,5,2,10,TRUE,TRUE,1.829,TRUE,37.259
493,5,2,10,TRUE,TRUE,0.639,TRUE,35.513
