"inst","w","var","inc","fixed_evpir","fixed_vssr","flex_evpir","flex_vssr"
348,5,5,10,13.0334766026999,7.54282946909619,5.56760665220535,2.8265299414974
348,5,5,20,23.8663617602767,NA,8.81763527054108,2.58517034068137
349,5,2,10,7.46305117869794,5.64309270795162,3.77238663787628,-0.241331131715988
349,5,2,20,8.37078651685393,5.64044943820225,3.08972073677956,0.463458110516931
349,5,5,10,15.8771304516882,25.9024042511827,6.87280292703926,0
349,5,5,20,17.9367925585565,15.1238372744593,8.95810021136391,2.79124704712173
350,5,2,10,5.96443566312669,4.03803408248951,3.3752061921076,-0.444106077908895
350,5,2,20,10.2241195304162,3.10565635005336,4.04927569293943,1.31173719630432
350,5,5,10,9.49977734896838,26.0724358022859,3.49030470914127,0
350,5,5,20,19.9926862396824,NA,7.59065950642611,0.579255415434751
351,5,2,10,6.73821491645157,6.84689580220078,2.63792369876614,0.921855056020423
351,5,2,20,6.31778058007566,NA,1.45907945350842,0
351,5,5,10,18.7431654151783,9.28045490996573,6.43049026192076,0
351,5,5,20,8.71608206485771,NA,3.54545454545455,1.06293706293707
352,4,2,10,6.62067135465039,NA,2.5207756232687,3.17174515235457
352,4,2,20,NA,NA,NA,NA
352,4,5,10,11.3363929036235,NA,5.03301540719002,1.95891415994131
352,4,5,20,NA,NA,NA,NA
353,6,2,10,9.37502097315417,1.63590604026846,9.92288930581613,-5.43047738169669
353,6,2,20,8.91661423515516,0.845458120330705,4.73985194324492,0.215916101172116
353,6,5,10,16.6845493562232,11.6356700047686,13.4336677814939,1.15198810850985
353,6,5,20,16.3487264201216,19.5619737823722,15.2192806221646,-0.772305033484441
354,6,2,10,5.27408445335079,2.99278866497943,3.69120838009728,-0.922808330215494
354,6,2,20,NA,NA,NA,NA
354,6,5,10,12.5777080796626,3.93289443896822,8.71401752190253,-0.89173967459324
354,6,5,20,NA,NA,NA,NA
355,5,2,10,7.13231677324151,5.71815051647811,7.55294405680009,-0.844656628718323
355,5,2,20,11.786769720391,NA,5.77880296224354,7.13852130630083
355,5,5,10,18.8610949518454,11.8867558658135,9.83335727625342,2.46372647608102
355,5,5,20,23.5756161420684,NA,12.6301405517959,NA
356,5,2,10,5.58718861209965,0.118623962040332,5.22743510359609,-2.61967135032151
356,5,2,20,6.92199197135728,NA,4.31630604505912,1.86259201427615
356,5,5,10,11.5168357784528,4.07160860854392,5.4097001519967,-1.14688406798398
356,5,5,20,13.7857219308573,26.0515894252382,7.088067362593,1.26881596401177
357,5,2,10,6.89531548757169,3.14292543021033,5.75783234546994,-1.3063989355268
357,5,2,20,10.3515850144092,5.38328530259367,5.22788203753351,2.20570314404095
357,5,5,10,16.1155965654236,39.6065615788799,8.91950184373478,-0.626174076393237
357,5,5,20,19.9635884236299,NA,11.200111443895,4.2348680086369
358,4,2,10,8.45512908072668,NA,5.59233694886604,1.21143823073672
358,4,2,20,NA,NA,9.22062350119904,NA
358,4,5,10,17.1676259504015,NA,8.86560863106872,2.26721913845673
358,4,5,20,NA,NA,14.2285614889546,NA
359,4,2,10,7.72151898734177,NA,1.33649128743021,0
359,4,2,20,NA,NA,NA,NA
359,4,5,10,16.8647977288857,NA,2.89119170984456,0
359,4,5,20,NA,NA,NA,NA
360,6,2,10,8.72153749738895,-1.5249634426576,6.18357487922705,-4.1653247450351
360,6,2,20,7.95971467391304,NA,6.72406196213425,-2.37521514629948
360,6,5,10,15.2969828304717,1.8336389398233,8.61457946166309,0.503566932438103
360,6,5,20,22.4525458758691,NA,11.9094906089927,0
361,5,2,10,9.01464713715047,NA,6.11431712008794,NA
361,5,2,20,10.2287858612759,NA,5.6968463886063,9.33367243133265
361,5,5,10,19.2257966385277,NA,10.552467576217,NA
361,5,5,20,19.9795996429937,NA,7.26265238271149,7.70594754340598
362,5,2,10,4.35771125426298,3.92825565239357,3.34439622159815,0.944600459535356
362,5,2,20,13.3182601205857,NA,6.4598582549088,0
362,5,5,10,12.8080985915493,3.71185446009389,8.92651904068654,-1.08037698260669
362,5,5,20,25.2978276103714,NA,10.0071433209949,0
363,7,2,10,10.1121364759553,1.8817715263255,10.6133541253191,-5.43426897268708
363,7,2,20,12.5244436167243,-6.04339323959428,9.72515856236795,-6.09263886219498
363,7,5,10,21.1962329485833,5.7292759706191,12.3124642419289,-2.32354486543277
363,7,5,20,11.8007693642622,8.96049054202563,6.98510858955605,-0.73206442166923
364,4,2,10,11.3482484545187,NA,2.44574020084224,2.25137674117266
364,4,2,20,NA,NA,4.97194513715711,NA
364,4,5,10,16.4028893758623,NA,7.88767662314434,0
364,4,5,20,NA,NA,11.8897323212145,7.70275669196964
365,5,2,10,6.87927663734115,0.928641251221899,4.29486374481978,0
365,5,2,20,9.78118161925602,NA,4.12742704336705,0.69759330310429
365,5,5,10,18.313236959563,1.01925254813138,12.2638809387521,-2.43989696622781
365,5,5,20,19.4444444444444,NA,9.197998046875,1.007080078125
379,4,2,10,16.4342514694019,NA,16.4342514694019,NA
379,4,2,20,NA,NA,NA,NA
379,4,5,10,12.942722744881,0,6.23603039785427,2.53315452242587
379,4,5,20,NA,NA,NA,NA
382,4,2,10,3.62940275650842,0.122511485451761,2.52478314745973,0
382,4,2,20,NA,NA,NA,NA
382,4,5,10,13.60821840698,NA,4.42904958356036,1.50229625593524
382,4,5,20,NA,NA,NA,NA
41,6,2,10,7.56088483146067,-0.456460674157303,5.07213942307714,-0.769230769231002
41,6,2,20,6.90602489260952,4.26258398502037,7.97036149825804,-1.38283972125457
41,6,5,10,20.6163595505617,2.46548956661317,2.99700298132732,-0.0863015848107571
41,6,5,20,14.5079491708928,12.9067183315289,10.3549128053194,-0.513850443815783
416,6,2,10,6.1290869155946,3.65024579018952,4.78465945257797,-2.95989815404201
416,6,2,20,6.6969696969697,NA,6.47970031386067,-3.28034828389186
416,6,5,10,20.9494404213298,4.5351473922901,14.6703355704697,-3.38728780102645
416,6,5,20,20.8763121440665,16.4845313221487,9.13805455723785,0
417,5,2,10,4.84848484848485,3.61162646876933,4.76603119584056,1.01510274820501
417,5,2,20,11.9624264373019,NA,8.55765839896557,NA
417,5,5,10,12.5955561906123,6.09416303493605,9.14222057185295,0.363906424062391
417,5,5,20,18.8594773070681,0,8.54097016337601,0
418,6,2,10,6.28631925397717,4.54196379594075,6.20399692544177,-3.8761392335564
418,6,2,20,8.05642763445581,1.3992129427195,5.42001574271919,-1.11323512875295
418,6,5,10,20.8282536924414,-5.07384882710686,13.4106043329533,-1.40630938806537
418,6,5,20,19.8875492696498,31.613725944818,8.66375892149088,7.55352894528152
419,4,2,10,NA,NA,2.85166240409207,0
419,4,2,20,NA,NA,NA,NA
419,4,5,10,11.2530978934325,0,6.24284077892325,4.30371461299296
419,4,5,20,NA,NA,NA,NA
42,5,2,10,9.66552206536945,1.23362584255374,5.89560148383678,0.847906730259684
42,5,2,20,12.4246902353075,NA,7.70336647897449,NA
42,5,5,10,21.184417002115,7.27297537013031,9.20380413424506,3.01029631376247
42,5,5,20,23.7229190421893,NA,18.9593555030589,NA
420,5,2,10,4.89780658025922,6.43070787637089,3.75835540421238,0.151343170639431
420,5,2,20,18.1598571578616,NA,4.0275896046311,2.27860573962311
420,5,5,10,15.6965336821452,6.990771019548,2.57809875713806,1.42761168962042
420,5,5,20,NA,NA,11.0802787816211,2.13603510583377
421,6,2,10,7.85809018567639,-1.29310344827586,9.1533180778032,-3.65043042388559
421,6,2,20,6.93012288276321,1.41702645854069,7.06387353526441,-2.02299358832633
421,6,5,10,14.4126197911059,0.452245073759017,7.98217179902744,0
421,6,5,20,13.4856113947863,7.93872614888483,6.1567047574628,-0.746268656716661
422,4,2,10,2.89893266570036,1.88430623270523,1.79904051172708,0
422,4,2,20,NA,NA,NA,NA
422,4,5,10,4.80315515177125,0.21128248468202,3.90985995592521,1.15163147792706
422,4,5,20,NA,NA,NA,NA
423,6,2,10,3.51452141484892,1.36738614532738,2.35590118938679,0.606129917658271
423,6,2,20,7.23288461538462,0.245726495726287,6.01792532047307,-2.32707053297339
423,6,5,10,14.85332,3.18666666666681,8.13492052075106,2.71164496871163
423,6,5,20,9.2390444549913,NA,4.52124708754011,0
424,5,2,10,6.95932711141836,2.51181011637286,5.44496487119438,-0.714285714285717
424,5,2,20,26.5536723163842,NA,6.07841248434639,NA
424,5,5,10,7.04120315704431,6.63103598284756,5.78824714996536,1.29117591484537
424,5,5,20,19.0320733104238,NA,5.7156195811658,2.74109643857542
425,6,2,10,3.73460017574672,2.3396309314587,4.02976346911958,-1.54402102496715
425,6,2,20,6.74363578069894,NA,9.0473420888055,-5.27412966437336
425,6,5,10,13.3962974703606,2.53597920497066,7.58404708747717,-3.25417766051026
425,6,5,20,17.633607964298,6.65407941412049,11.3328529194383,-3.2766691303278
426,5,2,10,4.69876416065911,1.50617919670443,2.97509829619922,0.262123197903014
426,5,2,20,10.3904216553878,NA,4.43037974683544,NA
426,5,5,10,16.3798631893972,7.53527148353997,8.69996499008052,0.385109114249045
426,5,5,20,10.138276314221,NA,7.72949816401469,2.55813953488372
427,6,2,10,5.33483777038289,2.61023294509131,3.18015315890237,-1.16996383748118
427,6,2,20,2.67413450211925,NA,7.64854614412153,-4.06357233158749
427,6,5,10,14.378795000534,-0.79585514368112,9.70030419107717,-4.02208201892744
427,6,5,20,18.8528949950932,17.0973721513468,19.7671090256169,-9.97249851463517
428,5,2,10,4.79921645445641,2.03232125367287,4.96211195306771,-0.0611097531165974
428,5,2,20,14.5188110579921,NA,5.41628334866606,1.97792088316467
428,5,5,10,9.02209070263574,3.84694790448008,3.77056340078614,2.60591061289853
428,5,5,20,16.9686228173822,15.852697912564,10.4305339187084,1.0904970967285
429,4,2,10,NA,NA,1.46510731268474,0.282740007711091
429,4,2,20,NA,NA,NA,NA
429,4,5,10,4.82008144735964,10.4880165565125,2.73570746350116,3.98417246554782
429,4,5,20,NA,NA,NA,NA
43,5,2,10,6.5621710141537,3.76652240028074,4.09412894705247,0
43,5,2,20,NA,NA,NA,NA
43,5,5,10,13.899495011701,8.01207045202612,6.61902217472617,3.44643334223884
43,5,5,20,NA,NA,NA,NA
430,5,2,10,3.46279196089082,1.69744703965236,2.96205296205297,1.70625170625171
430,5,2,20,9.6732788798133,NA,7.81231392163868,NA
430,5,5,10,9.20927709209277,8.37515258375153,7.18247365501942,2.59983361064892
430,5,5,20,12.9724659272747,NA,8.97968605724838,NA
431,6,2,10,8.59047931713723,0.175093018166115,8.11789682103199,-3.06896931030689
431,6,2,20,4.67654716603226,NA,5.424739195231,-2.38450074515648
431,6,5,10,14.3754030067017,5.18022097446115,9.29904067536455,5.23791250959325
431,6,5,20,11.6794878993768,4.00920882699758,8.52572358542874,-1.02935749105654
432,5,2,10,4.92507840631897,0.255546521082593,3.43322321849929,0
432,5,2,20,10.8260646485377,NA,2.09553853086976,0.96890491212258
432,5,5,10,5.49692759818327,6.68581351856799,4.17851821752674,0
432,5,5,20,NA,NA,NA,NA
433,5,2,10,6.56186733357152,1.67917113254733,2.8359133126935,1.10216718266254
433,5,2,20,20.6101027771703,NA,10.9079754601227,6.40490797546013
433,5,5,10,9.36573799644339,11.5260488704472,5.59138309549945,1.96212952799123
433,5,5,20,30.9265894508791,NA,3.65527661552765,2.68479776847978
434,5,2,10,5.02277483688292,0,2.4775628871192,0
434,5,2,20,NA,NA,10.0647781107996,0.696122981726776
434,5,5,10,10.5916202121921,1.28873703770305,5.85116455216815,0
434,5,5,20,NA,NA,NA,NA
435,7,2,10,3.58846712300342,1.52457996266335,5.55724880625845,-3.49486945037102
435,7,2,20,8.43060959792477,NA,4.42854380197244,-2.52368980854738
435,7,5,10,13.4426732498677,1.32251807441379,6.4540846144072,-3.77969762419007
435,7,5,20,13.1968591475229,2.18520373103569,4.44422200094325,0
436,5,2,10,4.71236230110159,1.00367197062424,3.41191066997519,-0.111662531017367
436,5,2,20,NA,NA,27.6781093669139,NA
436,5,5,10,15.4440154440154,0.617760617760612,11.02985984156,-4.45527794705127
436,5,5,20,20.4799904716532,NA,2.03228173147469,0
437,5,2,10,4.84100098349908,1.86864823516556,1.42630744849446,0
437,5,2,20,12.1028583572415,NA,3.51102297912048,1.9363116761927
437,5,5,10,10.3761969904241,8.12585499316005,3.96511287012607,1.37056581647609
437,5,5,20,NA,NA,15.4255620363554,NA
438,6,2,10,3.83894998962421,-0.456526250259188,4.2759553811198,-2.16897335261309
438,6,2,20,3.35444410967158,5.24254293461886,3.51916984158794,-0.200521355524168
438,6,5,10,11.6618075801748,1.10567137906376,15.1664025356577,-9.19704173269953
438,6,5,20,14.0264933766559,15.9010247438138,11.019711314605,-0.884681049200683
439,5,2,10,5.97847231228116,4.34444300350149,5.17917865550615,0.680094166884637
439,5,2,20,28.7143525011688,NA,14.8061235892278,NA
439,5,5,10,11.1143291579176,1.0136847440446,5.10937620777616,3.47839530030146
439,5,5,20,8.95212109400377,0,6.18515295535177,0
44,5,2,10,6.60798571246332,5.61296083684143,4.53774938062328,-0.977963228582605
44,5,2,20,NA,NA,NA,NA
44,5,5,10,17.9015758916229,7.07768869228643,4.42549082716447,0.466688123591886
44,5,5,20,NA,NA,NA,NA
440,5,2,10,7.51437174924719,1.88885847248836,4.01988636363636,-0.355113636363636
440,5,2,20,22.1630849568186,NA,8.03274798291409,0
440,5,5,10,13.4867445584485,2.06393452345651,6.41560274587798,0
440,5,5,20,21.3746597376887,NA,4.52257531365035,0
45,6,2,10,6.86527866752081,-0.939568652573346,6.38551191242755,-1.86735350933677
45,6,2,20,5.73141573994887,NA,5.68098855247653,-0.887985449876759
45,6,5,10,15.0182315405651,5.2016864175024,12.1503033158607,1.97891513045527
45,6,5,20,15.8485545856478,2.42036050334441,16.0341627774631,-6.35144011667203
456,4,2,10,NA,NA,1.96185286103542,0
456,4,2,20,NA,NA,NA,NA
456,4,5,10,15.8528971028971,6.04395604395604,15.8528971028971,6.04395604395604
456,4,5,20,NA,NA,NA,NA
46,4,2,10,NA,NA,NA,NA
46,4,2,20,NA,NA,NA,NA
46,4,5,10,NA,NA,NA,NA
46,4,5,20,NA,NA,NA,NA
47,4,2,10,6.39978930734791,NA,3.90698931999459,NA
47,4,2,20,NA,NA,NA,NA
47,4,5,10,9.77065450643777,0.0670600858369099,5.81688366232675,3.65392692146157
47,4,5,20,NA,NA,NA,NA
48,5,2,10,5.57137974250884,NA,4.01852924145918,-1.03068905616676
48,5,2,20,NA,NA,NA,NA
48,5,5,10,12.5748876684973,2.95806290564153,5.51058950492377,0
48,5,5,20,NA,NA,NA,NA
49,4,2,10,8.09961315280464,NA,6.17131572451247,NA
49,4,2,20,NA,NA,NA,NA
49,4,5,10,12.5938183322499,2.81307251344483,7.49890549752955,0.262680592907624
49,4,5,20,NA,NA,NA,NA
491,6,2,10,3.49512743628204,0,3.49512743628204,-0.552848575712509
491,6,2,20,3.17278003482298,2.86322306055311,4.64852352829128,-0.714421794627547
